game_title,dev_team,platforms,primary_tags,keywords,game_summary
Persona 5 Royal,"['P Studio', 'Sega']","['PlayStation 4', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X|S']","['Mystery', 'Fantasy', 'Turn Based Strategy', 'Simulator', 'elves', 'Single player', 'jrpg', 'Brawler', 'Action', 'turn-based', 'Drama', 'Strategy', 'RPG', 'Adventure', 'Comedy', 'Tactical']","['turn-based', 'jrpg', 'turn-based combat']",An enhanced version of Persona 5 with some new characters and a third semester added to the game. Released Internationally in 2020.
Portal 2,['Valve'],"['PC (Microsoft Windows)', 'PlayStation 3']","['Shooter', 'Puzzle', 'Single player', 'Platform', 'Multiplayer', 'Action', 'Co-operative', 'Adventure', 'Comedy']",[],"Sequel to the acclaimed Portal (2007), Portal 2 pits the protagonist of the original game, Chell, and her new robot friend, Wheatley, against more puzzles conceived by GLaDOS, an A.I. with the sole purpose of testing the Portal Gun's mechanics and taking revenge on Chell for the events of Portal. As a result of several interactions and revelations, Chell once again pushes to escape Aperture Science Labs."
Celeste,"['Maddy Makes Games', 'Extremely OK Games']","['Linux', 'PC (Microsoft Windows)', 'Mac', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'Google Stadia']","['Indie', '2d', 'Fantasy', 'exploration', 'Single player', 'difficult', 'Platform', 'Action', 'Drama', 'female protagonist', 'Adventure']","['exploration', 'retro', 'psychological exploration', '2d', 'rock climbing', 'difficult', 'female protagonist', 'cute', 'atmospheric', 'pixel art', 'snow', 'pixel graphics', 'anxiety', 'story rich', 'great soundtrack', 'mental health', 'digital distribution', 'pax west 2017', 'puzzle platformer', 'depression', 'lgbtq+', 'conversation', 'precision platforming']","Help Madeline survive her inner demons on her journey to the top of Celeste Mountain, in this super-tight platformer from the creators of TowerFall. Brave hundreds of hand-crafted challenges, uncover devious secrets, and piece together the mystery of the mountain. Set on a fictional version of Mount Celeste, it follows a young woman named Madeline who attempts to climb the mountain, and must face her inner demons in her quest to reach the summit."
Cyberpunk 2077,"['CD Projekt', 'CD Projekt RED']","['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S']","['Shooter', 'Single player', 'Multiplayer', 'Action', 'Sandbox', 'Science fiction', 'Open world', 'RPG', 'Adventure']",['cyberpunk'],"Cyberpunk 2077 is an open-world, action-adventure story set in Night City, a megalopolis obsessed with power, glamour and body modification. You play as V, a mercenary outlaw going after a one-of-a-kind implant that is the key to immortality. You can customize your character’s cyberware, skillset and playstyle, and explore a vast city where the choices you make shape the story and the world around you. In 2077, following an economic collapse sometime during the early 21st century, the United States is forced to rely on large corporations to survive. These corporations deal in a wide range of areas, such as weapons, robotics, cybernetics, pharmaceuticals, communications and biotechnology, and many of these companies operate above the law. The world in between is where decadence, sex and pop culture mix with violent crime, extreme poverty and the unattainable promise of the American Dream. You play as V, a mercenary outlaw deeply embedded in the crime-ridden city of Night City, going after a one-of-a-kind implant that is the key to immortality."
Super Mario Bros. Wonder,"['Nintendo EPD Production Group No. 10', 'Nintendo']",['Nintendo Switch'],"['2d', 'side-scrolling', 'Fantasy', 'Kids', 'Single player', 'Platform', 'Multiplayer', 'Action', 'Co-operative', 'Adventure', 'Comedy']","['casual', 'collecting', 'side-scrolling', 'cute', 'funny', 'elephant', 'mario', 'family friendly', '2d platformer', 'colorful', 'cartoony', 'precision platforming', 'multiple playable characters', 'flowers', 'power-ups', 'jumping']","The next evolution of 2D side-scrolling Super Mario Bros. games is headed to Nintendo Switch!

When you touch a Wonder Flower in the game, the wonders of the world unlock – pipes could come alive, hordes of enemies may appear, characters might change their looks, for example – transforming the gameplay in unpredictable ways. Excitement and different surprises await in each course. Super Mario Bros. Wonder features Princess Peach, Princess Daisy and Yoshi as playable characters, in addition to familiar characters like Mario, Luigi and Toad."
Bloodborne,"['FromSoftware', 'Sony Computer Entertainment']",['PlayStation 4'],"['Fantasy', 'Single player', 'difficult', 'Horror', 'Multiplayer', 'Action', 'sword & sorcery', 'Co-operative', 'Open world', 'RPG', 'Adventure']","['bloody', 'disease', 'gothic', 'difficult', 'action-adventure', 'online', 'sword & sorcery', 'playstation network', 'playstation trophies', 'leveling up', 'playstation experience 2015', 'character creation', 'side quests', 'pick your gender', 'downloadable content', 'auto-saving', 'real-time combat', 'male antagonist', 'female antagonist', 'e3 2014', 'pax prime 2014', 'gamescom 2014', 'mercenary', 'canonical death', 'british accent', 'camera control', 'sliding down ladders', 'day one patch', 'tokyo game show 2014', 'new game plus', 'no game pause', 'the game awards 2014', 'soulslike', 'the game awards - world premiere']","An action RPG in which the player embodies a Hunter who, after being transfused with the mysterious blood local to the city of Yharnam, sets off into a ""night of the Hunt"", an extended night in which Hunters may phase in and out of dream and reality in order to thin the outbreak of abominable beasts that plague the land and, for the more resilient and insightful Hunters, uncover the answers to the Hunt's many mysteries."
Grand Theft Auto V,"['Rockstar North', 'Rockstar Games']","['PlayStation 4', 'Xbox One', 'PlayStation 5', 'Xbox Series X|S']","['immersive', 'Shooter', 'exploration', 'Simulator', 'multiple endings', 'Racing', 'Single player', 'Open world', 'Arcade', 'Multiplayer', 'Action', 'assassin', 'Sandbox', 'Co-operative', 'Stealth', 'Adventure', 'Comedy']",[],"Grand Theft Auto V is a vast open world game set in Los Santos, a sprawling sun-soaked metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality TV. The game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters, playing all sides of the game’s interwoven story."
God of War,"['Sony Interactive Entertainment', 'SIE Santa Monica Studio']","['PC (Microsoft Windows)', 'PlayStation 4']","['Historical', 'exploration', 'Fantasy', 'multiple endings', 'Single player', 'Platform', 'Multiplayer', 'Brawler', 'Action', 'sword & sorcery', 'Open world', 'RPG', 'Adventure', 'anime']","['greek mythology', 'exploration', 'violence', 'story driven', 'norse mythology', 'crafting', 'dark fantasy', 'upgradable weapons', 'cinematic', 'deer', 'mythology', 'hand-to-hand combat', 'combat', 'over the shoulder', 'emotional', 'trolls', 'boss fight', 'game critics awards', 'e3 2017', 'bow and arrow', 'descendants of other characters', 'e3 2016', 'skill tree', 'the game awards 2017', 'the game awards - nominee', 'the game awards 2016', 'narrative', 'norse', 'male protagonist', 'kratos', 'the game awards - most anticipated game - nominee', 'father and son relationship']","God of War is the sequel to God of War III as well as a continuation of the canon God of War chronology. Unlike previous installments, this game focuses on Norse mythology and follows an older and more seasoned Kratos and his son Atreus in the years since the third game. It is in this harsh, unforgiving world that he must fight to survive… and teach his son to do the same. Many years have passed since Kratos, Spartan warrior and former Greek God of War, took his vengeance against the Greek Gods, and he now lives with his young son Atreus in ancient Norway in the realm of Midgard. The game begins after the death of the Jötunn warrior Faye, Kratos' second wife and Atreus' mother, whose last request was for her ashes to be spread at the highest speak of the nine realms. Kratos and Atreus prepare a funeral pyre for her, mourn her death and soon go on a hunt as per Kratos' desire. However much to Kratos' disappointment, Atreus proves his incompetence and lack of focus, making Kratos reconsider taking Atreus in his journey. Kratos is soon attacked by a mysterious stranger with godlike powers, and who cannot feel anything physically. After seemingly killing him, Kratos reluctantly takes Atreus with him and begins their journey."
Portal,"['Electronic Arts', 'Valve']","['PC (Microsoft Windows)', 'Android']","['Shooter', 'Puzzle', 'Single player', 'Platform', 'Multiplayer', 'Action', 'Co-operative', 'Adventure', 'Comedy']","['brazil', 'industrial', 'boomer shooter', 'brazilian culture', 'brazilian celebrity']","Waking up in a seemingly empty laboratory, the player is made to complete various physics-based puzzle challenges through numerous test chambers in order to test out the new Aperture Science Handheld Portal Device, without an explanation as to how, why or by whom. You are a Mit Aia fan, a legend of Brazilian 70s funk music, and you tried to revive him in the favela where you live with a Pentagram, things took a bad turn and you opened a portal to hell! All the people in the state of Rio de Janeiro got Posseeessed! It’s up to you to find a way to stop the hell invasion!"
NieR: Automata,"['Square Enix Business Division 6', 'Square Enix']","['PC (Microsoft Windows)', 'PlayStation 4']","['Shooter', 'elves', 'multiple endings', 'Simulator', 'Single player', 'post-apocalyptic', 'Brawler', 'Action', 'female protagonist', 'Drama', 'Science fiction', 'Open world', 'RPG', 'Adventure', 'Strategy']","['post-apocalyptic', 'androids', 'story rich', 'extinction', 'yoko taro']","NieR: Automata tells the story of androids 2B, 9S and A2 and their battle to reclaim the machine-driven dystopia overrun by powerful machines. The first and second playthroughs follow the respective views of 2B and 9S during an initial invasion. After opening a route for future missions, they are sent to clear out machine threats for the Resistance, led by Anemone, who provides the two with support. During their missions, 2B and 9S discover that the machines are exploring human societies and concepts. The two work with a pacifist machine group led by Pascal; battle Adam and Eve, physical manifestations of the machine network who reveal that their creators were destroyed centuries ago and encounter A2, a rogue android on the run from YoRHa. Adam is killed by 2B after he captures 9S. During his recuperation, 9S discovers a glitch in YoRHa's servers when syncing himself and 2B, and learns that humanity was extinct long before the alien invasion. Their last remnant is a Moon-based server holding humanity's incomplete genome remains. YoRHa perpetuates the myth of their survival to maintain morale and give androids a ""god"" to fight for. With Adam dead, Eve goes mad with grief and drives the machines under his command into a frenzy. 2B and 9S kill Eve to end the rampage, but 9S becomes infected with Eve's logic virus, forcing 2B to kill him. However, 9S's consciousness survives within the local machine network.

The third playthrough begins as YoRHa launches a full-scale invasion. A logic virus attack—enabled by the ""glitch"" that 9S previously discovered—corrupts every YoRHa unit including those in the Bunker, except for 2B and the restored 9S. 2B and 9S are separated in the aftermath, and 2B is infected with the logic virus. Discovered by A2, 2B uploads her memories into her sword and asks her to look after 9S. An ignorant 9S witnesses A2 mercifully killing 2B and swears revenge on her. Simultaneously, a tower created by the machines rises from the land, separating the two before they can fight. The perspective splits between A2 and 9S a fortnight after these events. A2—the survivor of a test run for YoRHa—finds herself empathising with the machines; she witnesses Pascal's village being destroyed, then its ""children"" committing suicide out of fear when attacked. Pascal begs A2 to either wipe his memory or kill him; A2 can perform either task or leave him. An increasingly-unbalanced 9S investigates the tower's resource-gathering platforms, fighting machine remnants and learning the tower is designed to launch a missile at the Moon server. Both eventually enter the tower, with Devola and Popola sacrificing themselves to open it."
Hi-Fi Rush,"['Bethesda Softworks', 'Tango Gameworks']","['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S']","['Adventure', 'Brawler', 'Music', 'Platform', 'Action', 'Single player']",['music and rhythm'],"As wannabe rockstar Chai, you’ll fight back against a sinister robotics enhancement conglomerate using rhythm-amplified combat where everything – from the motion in the environment to the blows of combat – is synced to the music."
Yakuza 0,"['Sega Games', 'Sega Corporation']","['PC (Microsoft Windows)', 'PlayStation 3', 'PlayStation 4', 'Xbox One']","['Historical', 'Turn Based Strategy', 'Simulator', 'Single player', 'Fighting', 'Multiplayer', 'Brawler', 'Action', 'turn-based', 'Drama', 'assassin', 'Sandbox', 'Open world', 'RPG', 'Adventure']","['martial arts', '1980s', 'murder', 'minigames', 'organized crime', 'prequel', 'gambling', 'karaoke', 'gangs', 'brawler', 'action-adventure', 'multiple protagonists', 'japan', 'crime', 'yakuza', 'digital distribution', 'playstation trophies', '60 fps on consoles', 'playstation experience 2016', 'side quests', 'e3 2016', 'melee', 'betrayal', 'arcade cabinet', 'interactive environments', 'skill tree', 'motion capture animation', 'the 1980s', 'sex work', 'product placement', 'metagame', 'framing', 'male protagonist']","The glitz, glamour, and unbridled decadence of the 80s are back! Yakuza 0 is a prequel set in 1988 to the Yakuza series, taking place before the first game. Fight like hell through Tokyo and Osaka with protagonist Kazuma Kiryu and series regular Goro Majima. Play as Kazuma Kiryu and discover how he finds himself in a world of trouble when a simple debt collection goes wrong and his mark winds up murdered. Then, step into the silver-toed shoes of Goro Majima and explore his “normal” life as the proprietor of a cabaret club."
Dark Souls III,"['FromSoftware', 'Bandai Namco Entertainment']","['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One']","['exploration', 'Fantasy', 'Single player', 'difficult', 'Multiplayer', 'Action', 'Co-operative', 'RPG', 'sword & sorcery', 'Adventure']","['medieval', '3d', 'death', 'action-adventure', 'online', 'sequel', 'sword & sorcery', 'customizable characters', 'bink video', 'human', 'playstation experience 2015', 'pick your gender', 'downloadable content', 'parrying', 'd.i.c.e. awards 2017', 'e3 2015', 'crab', 'pax prime 2015', 'canonical death', 'british accent', 'camera control', 'sliding down ladders', 'new game plus', 'entering world in a painting', 'the game awards - nominee', 'the game awards 2016', 'best role playing game: nominee - 2016 (the game awards)', 'soulslike', 'realtime 3d', 'the game awards - best roleplaying game - nominee', 'interconnected-world']","Dark Souls III is an action role-playing game developed by FromSoftware and published by Bandai Namco Entertainment. Released in March 2016, it is the fourth entry in the Souls series and the final instalment in the Dark Souls trilogy. Set in the decaying kingdom of Lothric, players take on the role of the ""Ashen One,"" an undead warrior tasked with rekindling the First Flame to prevent the world from falling into darkness.

The game features challenging combat, intricate level design, and a deep, lore-rich narrative. Set in the Kingdom of Lothric, a bell has rung to signal that the First Flame, responsible for maintaining the Age of Fire, is dying out. As has happened many times before, the coming of the Age of Dark produces the undead: cursed beings that rise after death. The Age of Fire can be prolonged by linking the fire, a ritual in which great lords and heroes sacrifice their souls to rekindle the First Flame. However, Prince Lothric, the chosen linker for this age, abandoned his duty and decided to watch the flame die from afar. The bell is the last hope for the Age of Fire, resurrecting previous Lords of Cinder (heroes who linked the flame in past ages) to attempt to link the fire again; however, all but one Lord shirk their duty. Meanwhile, Sulyvahn, a sorcerer from the Painted World of Ariandel, wrongfully proclaims himself Pontiff and seizes power over Irithyll of the Boreal Valley and the returning Anor Londo cathedral from Dark Souls as a tyrant.

The Ashen One, an Undead who failed to become a Lord of Cinder and thus called an Unkindled, rises and must link the fire by returning Prince Lothric and the defiant Lords of Cinder to their thrones in Firelink Shrine. The Lords include the Abyss Watchers, a legion of warriors sworn by the Old Wolf's Blood which linked their souls into one to protect the land from the Abyss and ultimately locked in an endless battle between each other; Yhorm the Giant, who sacrificed his life for a nation conquered by his ancestor; and Aldrich, who became a Lord of Cinder despite his ravenous appetite for both men and gods. Lothric was raised to link the First Flame but neglected his duties and chose to watch the fire fade instead.

Once the Ashen One succeeds in returning Lothric and the Lords of Cinder to their thrones, they travel to the ruins of the Kiln of the First Flame. There, they encounter the Soul of Cinder, an amalgamation of all the former Lords of Cinder. Upon defeat, the player can attempt to link the fire or access three other optional endings unlocked by the player's in-game decisions. These include summoning the Fire Keeper to extinguish the flame and begin an age of Dark or killing her in a sudden change of heart. A fourth ending consists of the Ashen One taking the flame for their own, becoming the Lord of Hollows."
Super Mario Odyssey,"['Nintendo EPD Production Group No. 8', 'Nintendo']",['Nintendo Switch'],"['Adventure', 'Platform', 'Action', 'Fantasy', 'Single player']","['unofficial', 'character mod']","Explore incredible places far from the Mushroom Kingdom as you join Mario and his new ally Cappy on a massive, globe-trotting 3D adventure. Use amazing new abilities, like the power to capture and control objects, animals, and enemies to collect Power Moons so you can power up the Odyssey airship and save Princess Peach from Bowser’s wedding plans!"
Resident Evil 2,"['Capcom Development Division 1', 'Capcom']",[],"['Shooter', 'multiple endings', 'Puzzle', 'Split screen', 'Survival', 'Single player', 'Horror', 'Multiplayer', 'Action', 'Co-operative', 'Stealth', 'female protagonist', 'Adventure']",[],"Resident Evil 2 is a remake of 1998's Resident Evil 2. The game was not developed with the intent of improving the original, but rather a reimagining of the original story with redesigned maps, characters and story elements. Gameplay mechanics are more similar to Resident Evil 7: Biohazard though with the use of an over-the-shoulder camera."
Omori,"['PLAYISM', 'OMOCAT']",['PC (Microsoft Windows)'],"['Adventure', 'Indie', 'RPG', 'Turn Based Strategy', 'Horror', 'Single player', 'turn-based']",[],"A turn-based surreal horror RPG in which a child traverses various mundane, quirky, humourous, mysterious and horrific lands with his friends in search of a missing person while confronting his past and his fears. Explore a strange world full of colorful friends and foes. When the time comes, the path you’ve chosen will determine your fate... and perhaps the fate of others as well."
